permit number,description,building type,completed date
6628846-CN,"Construct new West townhouse building, per plan (Establish use as and construct (2) new townhouse buildings review and process for 2 AP's under permit 6628846",Multifamily,2020-06-18
6600030-CN,"Construct retaining wall accessory to a single-family residence, per plan.",Single Family/Duplex,2020-06-17
6557819-CN,"Establish use as and construct a single-family residence, per plans.",Single Family/Duplex,2020-06-17
6690165-CN,"Establish use and Construct new single-family residence, per plan.",Single Family/Duplex,2020-06-16
6705205-CN,"Construct NORTH SINGLE FAMILY DWELLING, per plan  (Establish use as townhouse and single family residence and construct South Two-family dwelling and North single family dwelling.  Review and process for two records under 6682524-CN).",Single Family/Duplex,2020-06-11
6687910-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-06-11
6695832-CN,"Establish use and construct new single-family residence, per plan.",Single Family/Duplex,2020-06-10
6639034-CN,"Construct west single family dwelling, per plan. (Establish use as single family residence and construct 3 single family dwellings / review and process for 3 AP's under # 6582649).",Single Family/Duplex,2020-06-10
6639033-CN,"Construct middle single family dwelling, per plan. (Establish use as single family residence and construct 3 single family dwellings / review and process for 3 AP's under # 6582649).",Single Family/Duplex,2020-06-10
6593137-CN,"Establish use as and construct new single family residence on vacant lot, per plan.",Single Family/Duplex,2020-06-09
6583347-CN,"Establish use as rowhouse and construct 6 units Rowhouse structure with surface parking, per plan.",Single Family/Duplex,2020-06-09
6684957-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-06-08
6364639-CN,Construct west apartment building this permit. [Construct (2) apartment buildings per plan]. Process and routing for (2) A/P's under 6364639.,Multifamily,2020-06-08
6392932-CN,New 21 unit,Multifamily,2020-06-08
6685230-CN,"Construct West duplex townhouse, per plan. (Construct West duplex and East three unit townhouses.  Review and process for two records under #6685230).",Multifamily,2020-06-04
6632697-CN,"Establish use as rowhouse and construct a townhouse structure, per plan.",Multifamily,2020-06-04
6633419-CN,"Establish use as rowhouse and construct a townhouse building with surface parking, per plan.",Multifamily,2020-06-04
6626609-CN,"Establish use as and construct a single-family residence, per plans",Single Family/Duplex,2020-06-03
6672523-CN,"Construct new south townhouse building, per plan. [Establish use as rowhouse and townhouse and construct (2) 3-unit townhouse buildings, per plan. Review and processing for (2) Construction Records under 6672523-CN.]",Multifamily,2020-06-01
6666408-CN,"Establish use as and construct a single-family residence with attached garages, per plan.",Single Family/Duplex,2020-06-01
6735908-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-05-29
6707066-CN,"Establish use as rowhouse and construct new duplex building, per plan.",Single Family/Duplex,2020-05-29
6649357-CN,"Establish use as townhouses and Construct duplex, per plan.",Single Family/Duplex,2020-05-28
6709594-CN,"Establish use as and construct single family residence on portion of existing foundation, per plan.",Single Family/Duplex,2020-05-27
6668292-CN,"Construct new North duplex, per plan. [Establish use as rowhouse and townhouse and construct new 3-unit townhouse and new duplex, per plan. Review and process for 2 Record IDs under #6668292.]",Multifamily,2020-05-27
6622147-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-05-27
6669928-CN,"Construct East Duplex, per plan. (Establish use as rowhouse and townhouse and construct a duplex and a multifamily structure both with attached garages. Review and process for 2 records under #6669928-CN.)",Multifamily,2020-05-26
6623600-CN,"Construct West townhouse, per plan (Establish use as and construct (2) townhouse building, review and process for 2 AP's under permit 6623600)",Multifamily,2020-05-26
6653922-CN,"Construct East townhouse, per plan (Establish use as and construct (2) townhouse buildings, review and process for 2 AP's under permit 6623600)",Multifamily,2020-05-26
6680703-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2020-05-22
6628930-CN,"Construct east 4-unit townhouse, per plans.  (Establish use as townhouses and construct 2 townhouse structures.  Reviews and processing for 2 construction records under 6628930-CN)",Multifamily,2020-05-22
6604128-CN,"Establish use as and construct new single family residence with terraced garage, per plan.",Single Family/Duplex,2020-05-22
6594724-CN,"Establish use as and construct single family residence, per Standard Plan (AP# 6594717).",Single Family/Duplex,2020-05-22
6594723-CN,"Establish use as and construct single family residence, per Standard Plan (AP# 6594717).",Single Family/Duplex,2020-05-22
6654235-CN,"Construct new East townhouse building, per plan (Establish use as and construct (2) new townhouse buildings review and process for 2 AP's under permit 6628846",Multifamily,2020-05-21
6692054-CN,"Establish use as Rowhouse and construct 3 unit townhouse building, per plan.",Multifamily,2020-05-20
6713516-CN,"Establish use as and construct a single-family residence, per plans",Single Family/Duplex,2020-05-20
6693671-CN,"Construct East three unit townhouses, per plan. (Construct West duplex and East three unit townhouses.  Review and process for two records under #6685230).",Multifamily,2020-05-20
6598116-CN,"Establish use as townhouses and construct a two-family dwelling, per plans.",Single Family/Duplex,2020-05-19
6670488-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-05-18
6633793-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-05-15
6559677-CN,"Establish use as and construct single family residence with accessory dwelling unit (ADU), per plan. Existing garage to remain.",Single Family/Duplex,2020-05-13
6620603-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-05-12
6676354-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2020-05-08
6654071-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-05-08
6595493-CN,"Construct 8-unit townhouse, occupy per plan.",Multifamily,2020-05-06
6685453-CN,"Establish use and construct single family dwelling with accessory dwelling unit (ADU) and attached garage, per plan.",Single Family/Duplex,2020-05-04
6590597-CN,"Establish use and construct an apartment building with surface parking provided and occupy, per plan. Mechanical included.",Multifamily,2020-05-01
6484076-CN,"Establish use as and construct a single family residence with attached garage, per plans.",Single Family/Duplex,2020-04-30
6589231-CN,"Establish use as and construct new single family residence on vacant lot, per plan.",Single Family/Duplex,2020-04-28
6672818-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2020-04-27
6604969-CN,"Construct new mixed use building with below grade parking, occupy per plan.",Multifamily,2020-04-26
6682172-CN,"Establish use as and construct a single family residence , per plans",Single Family/Duplex,2020-04-24
6686902-CN,"Establish use as and construct 6 unit townhouse building, per plan.",Multifamily,2020-04-24
6630622-CN,"Construct East single-family residence (Building B) with carport, per plan. (Establish use as single-family and construct 2 new single-family residences, review and process for 2 AP's under #6606709).",Single Family/Duplex,2020-04-22
6566445-CN,"Construction work at 2307 Perkins Lane W (Construct alterations to bulk head and site work), per plans.",Single Family/Duplex,2020-04-22
6606709-CN,"Construct West single-family residence with attached garage, (Building A), per plan. (Establish use as single-family and construct 2 new single-family residences, review and process for 2 AP's under #6606709).",Single Family/Duplex,2020-04-21
6689882-CN,"Establish use as and construct new single family residence on portion of existing foundation and repairs to existing detached garage, per plan.",Single Family/Duplex,2020-04-17
6646720-CN,"Establish use as a townhouse and construct a two-family dwelling, per plans.",Single Family/Duplex,2020-04-17
6635387-CN,"Establish use as and construct new townhouse structure with surface parking, per plan.",Multifamily,2020-04-17
6646734-CN,"Establish use as rowhouses and construct a two-family dwelling, per plans.",Single Family/Duplex,2020-04-17
6622148-CN,"Establish use as rowhouses and construct a townhouse building, per plan.",Multifamily,2020-04-14
6641756-CN,"Establish use as multifamily and construct an apartment building, occupy per plan.",Multifamily,2020-04-14
6590417-CN,"Construct a mixed use building containing apartment, live work, commercial space, and below grade parking, occupy per plan.",Multifamily,2020-04-10
6680671-CN,"Construct Middle single-family residence (SFR 2), per plan. (Establish use as and construct 3 single-family residences with attached garages, Review and process for 3 records under # 6680082-CN)",Single Family/Duplex,2020-04-08
6680672-CN,"Construct South single-family residence (SFR 3), per plan. (Establish use as and construct 3 single-family residences with attached garages, Review and process for 3 records under # 6680082-CN)",Single Family/Duplex,2020-04-08
6681596-CN,"Construct new South 3-unit townhouse, per plan. [Establish use as rowhouse and townhouse and construct new 3-unit townhouse and new duplex, per plan. Review and process for 2 Record IDs under #6668292.]",Multifamily,2020-04-07
6561324-CN,"Construct new single family residence (Unit 1) with surface parking, per plan.  (Establish use as and construct 3 new single family residences with surface parking, per plan. Review & processing for 3 AP's under #6541392).",Single Family/Duplex,2020-04-07
6680082-CN,"Construct North single-family residence (SFR 1), per plan. (Establish use as and construct 3 single-family residences with attached garages, Review and process for 3 records under # 6680082-CN)",Single Family/Duplex,2020-04-06
6685810-CN,"Establish use and construct single family dwelling with attached garage, per plan.",Single Family/Duplex,2020-04-05
6687464-CN,"Establish use as and construct townhouse building, per plan.  (Establish use as and construct townhouse building and construct alterations to existing residence.  Review and processing of 2 record #'s under 6687464-CN).",Multifamily,2020-03-25
6586454-CN,"Establish use as and construct new townhouse structure, per plan.",Multifamily,2020-03-25
6683872-CN,"Establish use as and construct single family residence with attached garage, per plan.",Single Family/Duplex,2020-03-24
6583351-CN,"Construct unit A, per plans (Establish use as and construct 2 single-family residences per plans. Reviews and processing for 2 A/P's under 6583351)",Single Family/Duplex,2020-03-20
6573054-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-03-20
6537228-CN,"Establish use and construct a single family residence with an attached garage, per plan.",Single Family/Duplex,2020-03-20
6700804-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2020-03-19
6636585-CN,"Establish use as rowhouses and construct 3-unit townhouse, per plans.",Multifamily,2020-03-19
6596176-CN,"Establish use as rowhouse and construct 4-unit townhouse, per plan.",Single Family/Duplex,2020-03-19
6685322-CN,"Construct new detached garage, accessory to an existing single-family residence, subject to field inspection (STFI).",Single Family/Duplex,2020-03-18
6698875-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-03-18
6776121-CN,"Construct interior alterations to the basement, per STFI",Single Family/Duplex,2020-03-16
6688719-CN,"Establish use as and construct a single-family residence with attached garage, per plan. Existing garage to be removed.",Single Family/Duplex,2020-03-16
6604550-CN,"Establish use as single family residence and construct one family dwelling on existing foundation, existing foundation to remain, per plans.",Single Family/Duplex,2020-03-13
6309478-CN,Land Use Application to allow 1 illuminated wall sign and 3 banner signs on a multifamily structure.,Multifamily,2020-03-13
6647627-CN,"Establish use as townhouses and construct a duplex building, per plan.",Single Family/Duplex,2020-03-12
6647631-CN,"Construct two unit townhouse, per plan",Single Family/Duplex,2020-03-12
6508260-CN,"Construct floating home, including float, per plan.",Single Family/Duplex,2020-03-12
6674848-CN,Establish use as and construct new townhouse per plan.,Multifamily,2020-03-11
6636586-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2020-03-11
6620719-CN,"Establish use as rowhouses and construct a townhouse building, per plans.",Multifamily,2020-03-10
6586810-CN,Demolish existing single family residence and construct new single family residence. Re-use part of the existing foundation wall to retain soil.,Single Family/Duplex,2020-03-10
6666930-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2020-03-06
6681441-CN,"Construct west bldg. per plans. (Establish use as and construct 2 two-family dwellings, per plans. Reviews and processing for 2 C/N's under 6673070)",Single Family/Duplex,2020-03-05
6643311-CN,"Establish use as and construct single family residence with attached garage, per plan",Single Family/Duplex,2020-03-05
6635479-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-03-05
6638364-CN,"Construct new South Single family residence, per plan (Establish use as and construct (2) new single family residences review and process for 2 Records under 6638364-CN)",Single Family/Duplex,2020-03-05
6673070-CN,"Construct east bldg. per plans. (Establish use as and construct 2 two-family dwellings, per plans. Reviews and processing for 2 C/N's under 6673070)Construct west bldg. per plans. (Establish use as and construct 2 two-family dwellings, per plans. Reviews and processing for 2 C/N's under 6673070)Clone a demo record",Single Family/Duplex,2020-03-05
6643291-CN,"Establish use as single family residence and construct one family dwelling, per plans.",Single Family/Duplex,2020-03-05
6537069-CN,"Construct north apartment building and occupy, per plan (Construct two apartment buildings and occupy, per plan - Review and processing 2AP's under #6537069)",Multifamily,2020-03-04
6684024-CN,"Change to existing detached accessory dwelling unit (DADU) and construct a new single-family residence, per plans.",Single Family/Duplex,2020-03-03
6610210-CN,"Construct east 4-unit townhouse, per plan.  (Establish use as multifamily and construct two 4-unit townhouses with surface parking / review and process 2 AP's under # 6594703)",Multifamily,2020-03-03
6649037-CN,"Establish use as and construct new single family residence with detached accessory dwelling unit, per plan.",Single Family/Duplex,2020-03-03
6584352-CN,"Establish use and construct single family dwelling with attached garage, per plan.",Single Family/Duplex,2020-03-03
6465824-CN,"Establish use as single family residence and construct floating home, per plans.  (site #2)Parking located at 2812 Boyer Ave E per #6465084.",Single Family/Duplex,2020-03-02
6567861-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-02-27
6688890-CN,"Construct west building (Establish use and construct 2 single family residences, per plan. Review & process for 2 records under #6688890-CN).",Single Family/Duplex,2020-02-26
6696132-CN,"Construct east building (Establish use and construct 2 single family residences, per plan. Review & process for 2 records under #6688890-CN).",Single Family/Duplex,2020-02-26
6623252-CN,"Establish use as row house and construct 2-unit townhome with attached garage and surface parking, per plan.",Single Family/Duplex,2020-02-26
6645153-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2020-02-26
6622258-CN,"Establish use as and construct new 5-unit townhouse structure, per plan.",Multifamily,2020-02-26
6623253-CN,"Establish use as row house and construct 2-unit townhome with attached garage and surface parking, per plan.",Single Family/Duplex,2020-02-26
6548082-CN,"Establish use and construct single family dwelling with attached garage, per plan.",Single Family/Duplex,2020-02-26
6551752-CN,"Constructtion of South apartment building and occupy, per plan (Construct two apartment buildings and occupy, per plan - Review and processing 2AP's under #6537069)",Multifamily,2020-02-26
6611865-CN,"Establish use as and construct a single-family residence, per plan.",Single Family/Duplex,2020-02-25
6646497-CN,"Establish use as and construct new single family residence with attached garage, per plan.",Single Family/Duplex,2020-02-25
6601617-CN,"Establish use and construct a single family dwelling with attached garage, per plan.",Single Family/Duplex,2020-02-25
6681979-CN,"Convert existing single family residence to detached accessory dwelling unit (DADU) and establish use as and construct new single family residence with detached garage, per plan.",Single Family/Duplex,2020-02-24
6623898-CN,"Establish use and construct row house with surface parking, per plan.",Multifamily,2020-02-21
6511687-CN,"Establish use as and Rowhouse and construct new townhouse structure with attached garages, per plan.",Multifamily,2020-02-21
6409645-CN,"Construction of a mixed use building with below grade parking, and occupy, per plan",Multifamily,2020-02-21
6594410-CN,"Construct south units, per plans (Establish use as rowhouses and construct a two-family dwelling, per plans. Reviews and processing for 2 A/P's under 6592529).",Multifamily,2020-02-20
6297704-CN,Establish use as apartments and customer service office; construct mixed-use building with surface parking and occupy per plans.,Multifamily,2020-02-20
6536009-CN,"Primary: Construct west 4-unit townhouse, per plan. (Establish use as townhouse and construct two 4-unit townhouse structures / review and process for 2 AP's under 6536009).",Multifamily,2020-02-19
6629905-CN,"Establish use as and construct a single family residence with attached garage, per plan.",Single Family/Duplex,2020-02-18
6672482-CN,"Establish use as row house and construct townhouse structure, per plan.",Single Family/Duplex,2020-02-18
6683871-CN,"Establish Use and Construct new single-family residence with detached accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2020-02-14
6669687-CN,"Construct new North Single family residence, per plan (Establish use as and construct (2) new single family residences review and process for 2 Records under 6638364-CN)",Single Family/Duplex,2020-02-14
6541392-CN,"Construct new single family residence (Unit 2) with surface parking, per plan.  (Establish use as and construct 3 new single family residences with surface parking, per plan. Review & processing for 3 AP's under #6541392).",Multifamily,2020-02-14
6645182-CN,"Establish use as and construct single family residence with attached accessory dwelling unit and attached parking, per plan.",Single Family/Duplex,2020-02-12
6643011-CN,"Construct South Duplex, per plan. (Establish use as townhouse and construct 1 new duplex with surface parking, per plan. Review and process for 2 AP's under 6621143)",Multifamily,2020-02-11
6621646-CN,"Construct East single family residence (Unit 3), per plan. (Establish use as single family and construct (3) single family residences, per plan. Review and process for (3) A/P's under 6589890).",Single Family/Duplex,2020-02-11
6621645-CN,"Construct Northwest single family residence (Unit 2), per plan. (Establish use as single family and construct (3) single family residences, per plan. Review and process for (3) A/P's under 6589890).",Single Family/Duplex,2020-02-11
6621143-CN,"Construct North townhouse structure, per plan. (Establish use as townhouse and construct 1 new duplex with surface parking, per plan. Review and process for 2 AP's under 6621143)",Multifamily,2020-02-11
6589890-CN,"Construct Southwest single family residence (Unit 1), per plan. (Establish use as single family and construct (3) single family residences, per plan. Review and process for (3) A/P's under 6589890).",Single Family/Duplex,2020-02-11
6587920-CN,"Construct south single-family residence this permit (Unit 1), per plans, (Establish use as and construct 2 single-family residences, per plans. Reviews and processing for 2 A/P's under 6587920).",Single Family/Duplex,2020-02-10
6676129-CN,"Establish use as and construct a single-family residence and a detached accessory dwelling unit (DADU), per plans",Single Family/Duplex,2020-02-05
6709834-CN,"Establish use as and construct a single family residence, per plan.",Single Family/Duplex,2020-02-05
6615359-CN,"Construct new North townhouse, per plan. (Establish use as rowhouse and construct 2 new townhouse structures with surface parking, per plan.  Review & process for 2 AP's under permit #6615359).",Multifamily,2020-02-04
6594720-CN,"Establish use as and construct single family residence, per Standard Plan (AP# 6594717).",Single Family/Duplex,2020-02-04
6594718-CN,"Establish use as and construct a single-family residence with attached garage, per standard plan # 6596519.",Single Family/Duplex,2020-02-04
6606398-CN,"Shoring and excavation for future construction of a mixed use building with underground parking, per plan.",Multifamily,2020-02-03
6604088-CN,"Establish use as and construct new apartment building and occupy, per plan. Mechanical included in this permit.",Multifamily,2020-01-31
6439091-CN,"Establish use as office and residential and construct a mixed-use building, occupy per plans.",Multifamily,2020-01-31
6695283-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2020-01-30
6694571-CN,"Establish use as and construct a townhouse building, occupy per plan.",Multifamily,2020-01-30
6630328-CN,"Establish use and construct single family dwelling, per plan.",Single Family/Duplex,2020-01-30
6601688-CN,"Construct south SFR, per plans (Establish use as and construct 2 single-family residences, per plans. Reviews and processing for 2 A/P's under 6600447).",Single Family/Duplex,2020-01-29
6600447-CN,"Construct north SFR, per plans (Establish use as and construct 2 single-family residences, per plans. Reviews and processing for 2 A/P's under 6600447)",Single Family/Duplex,2020-01-29
6599554-CN,Construct new townhomes,Multifamily,2020-01-27
6666463-CN,"Establish use as duplex and construct a two-family dwelling, per plans.",Single Family/Duplex,2020-01-24
6673133-CN,"Construct new single-family residence (SFR 2) in the middle, per plan. [Establish use as and construct 3 new single-family residences with attached parking, per plan. Review and processing for 3 records under #6672772.]",Single Family/Duplex,2020-01-24
6672772-CN,"Construct new single-family residence (SFR 1) to the north, per plan. [Establish use as and construct 3 new single-family residences with attached parking, per plan. Review and processing for 3 records under #6672772.]",Single Family/Duplex,2020-01-24
6673155-CN,"Construct new single-family residence (SFR 3) to the south, per plan. [Establish use as and construct 3 new single-family residences with attached parking, per plan. Review and processing for 3 records under #6672772.]",Single Family/Duplex,2020-01-24
6668027-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-01-23
6611864-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-01-23
6667470-CN,"Establish use as and construct new single family residence on portion of existing foundation with detached garage, per plan.",Single Family/Duplex,2020-01-22
6605517-CN,"Establish use as and construct a single-family residence with attached garage and an accessory dwelling unit, per plan.",Single Family/Duplex,2020-01-21
6556443-CN,"Establish use and construct a single family residence with detached parking, per plan.",Single Family/Duplex,2020-01-21
6519235-CN,"Establish use as and Construct new single family residence with attached garage, per plan.",Single Family/Duplex,2020-01-21
6717857-CN,"Alterations to add new deck at rear of a single-family residence, subject to field inspection (STFI)..",Single Family/Duplex,2020-01-17
6536243-CN,"Establish use as rowhouse and construct 7-unit townhouse, per plan.",Multifamily,2020-01-17
6640489-CN,"Construct a detached accessory dwelling unit (DADU) for a single-family residence, per plan, existing garage to be removed.",Single Family/Duplex,2020-01-16
6641970-CN,"Establish use as single family residence and construct one family dwelling, per plans.",Single Family/Duplex,2020-01-16
6647488-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-01-16
6644336-CN,"Construct (south) single family residence, per plan. (Establish use as and construct two new single family structures and processing of 2 AP's under 6632935).",Single Family/Duplex,2020-01-16
6673090-CN,"Construct west four-unit townhouse, per plan (Construction of (2) four-unit townhouses with surface parking, per plan - Processing for 2 records under 6616686-CN).",Multifamily,2020-01-16
6589130-CN,"Establish use for the record and construct single family residence, per plan.",Single Family/Duplex,2020-01-16
6594703-CN,"Construct west 4-unit townhouse, per plan.  (Establish use as multifamily and construct two 4-unit townhouses with surface parking / review and process 2 AP's under # 6594703).",Multifamily,2020-01-16
6527596-CN,"Establish use as single family residence and construct one family dwelling on existing basement foundation, per plans.",Single Family/Duplex,2020-01-16
6675701-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2020-01-15
6669273-CN,"Construct detached accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2020-01-15
6632023-CN,"Establish use as and construct a new single family residence, per plan.",Single Family/Duplex,2020-01-15
6611263-CN,"Establish use as and construct a single-family residence with attached garage, per plan. Removal of existing detached garage is included.",Single Family/Duplex,2020-01-15
6636779-CN,"Establish use as rowhouses and construct a townhouse building, per plans",Multifamily,2020-01-15
6604841-CN,"Construct an exterior deck on a single-family residence, subject to field inspection (STFI).",Single Family/Duplex,2020-01-15
6601579-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2020-01-15
6632019-CN,"Establish use as rowhouse and construct new townhouses with surface parking, per plan.",Multifamily,2020-01-15
6596882-CN,"Establish use as rowhouse and construct a townhouse structure with surface parking, per plan.",Multifamily,2020-01-15
6540563-CN,"Establish use as single family residence and construct one family dwelling, per plans.",Single Family/Duplex,2020-01-15
6559093-CN,"Establish use as townhouse and construct new duplex with surface parking, per plan.",Single Family/Duplex,2020-01-14
6574306-CN,"Establish use as single family residence and construct one family dwelling, per plans.",Single Family/Duplex,2020-01-14
6584990-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-01-13
6704103-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2020-01-10
6667389-CN,"Establish use as and construct a single-family residence, per plans.",Single Family/Duplex,2020-01-10
6633287-CN,"Establish use as townhouses and construct a two-family dwelling, per plan.  (existing detached garage to be demolished).",Single Family/Duplex,2020-01-10
6570518-CN,"Construct a 3-unit townhouse building (Building J) with attached garage, per plans.",Multifamily,2020-01-10
6594362-CN,"Construct Middle SFR, per plans (Establish use as and construct 3 single-family residences, per plans. Reviews and processing for 3 A/P's under 6592531)",Single Family/Duplex,2020-01-08
6578273-CN,"Establish use as multifamily residential and construct apartment building, occupy per plan.",Multifamily,2020-01-08
6592531-CN,"Construct North SFR, per plans (Establish use as and construct 3 single-family residences, per plans. Reviews and processing for 3 A/P's under 6592531)",Single Family/Duplex,2020-01-08
6594363-CN,"Construct South SFR, per plans (Establish use as and construct 3 single-family residences, per plans. Reviews and processing for 3 A/P's under 6592531)",Single Family/Duplex,2020-01-08
6573734-CN,"Establish use as and construct new townhouse building, per plan.",Multifamily,2020-01-08
6633003-CN,"Establish use and construct single family dwelling with attached garage, per plan.",Single Family/Duplex,2020-01-07
6348079-CN,"Establish use as and Construct SFR with attached Garage, per plan",Single Family/Duplex,2020-01-06
6689231-CN,"Construct new townhouse, per plan.",Multifamily,2020-01-03
6631661-CN,"Establish use as and construct a single-family residence, per plans",Single Family/Duplex,2019-12-31
6598919-CN,"Construct west two-family dwelling, per plan.  (Establish use as rowhouse and townhouse and construct two two-family dwellings, review and process for 2 AP's under # 6481892.)",Single Family/Duplex,2019-12-31
6504933-CN,"Construct 4-unit townhouse, per plans.",Multifamily,2019-12-31
6481892-CN,"Construct east two-family dwelling, per plan.  (Establish use as rowhouse and townhouse and construct two two-family dwellings, review and process for 2 AP's under # 6481892.)",Single Family/Duplex,2019-12-31
6612329-CN,"Establish use as and construct new single family residence with attached garage, per standard plan 6551642.",Single Family/Duplex,2019-12-30
6652338-CN,"Establish use as rowhouses and construct 4-unit townhouse, per plans.",Multifamily,2019-12-27
6638365-CN,"Establish use as and construct new single family residence with a new detached accessory dwelling unit, per plan.",Single Family/Duplex,2019-12-27
6638425-CN,"Establish use as and construct new single family residence with detached accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2019-12-27
6612358-CN,"Establish use and construct new single family residence, per Standard Plan 6554014.",Single Family/Duplex,2019-12-26
6612339-CN,"Establish use and construct a single family residence with attached garage, per standard plan 6554014",Single Family/Duplex,2019-12-26
6676862-CN,"Establish use and construct single family residence, per plan. Demo detached garage.",Single Family/Duplex,2019-12-24
6606767-CN,"Establish use as and construct north single family residence with surface parking, per plan (Establish use as and construct two single family residences with surface parking, per plan.  2 APs under 6606767)",Single Family/Duplex,2019-12-24
6644828-CN,"Establish use as and construct south single family residence with surface parking, per plan (Establish use as and construct two single family residences with surface parking, per plan.  2 APs under 6606767)",Single Family/Duplex,2019-12-24
6606768-CN,"Establish use as rowhouses and construct 3-unit townhouse, per plans.",Multifamily,2019-12-24
6592628-CN,"Establish use as and construct a single-family residence maintaining a portion of existing foundation, per plans.",Single Family/Duplex,2019-12-24
6631686-CN,"Construct new single family residence to the North (unit 2), per plan. (Establish use as and construct 2 new single family residences with surface parking, per plan.  Review & process for 2 AP's under permit #6618030).",Single Family/Duplex,2019-12-23
6602243-CN,"Establish use as rowhouse and construct 4-unit townhouse structure, per plans. (Project includes demo of detached garage accessory, single family residence to remain.)",Multifamily,2019-12-23
6618030-CN,"Construct new single family residence to the South (unit 1), per plan. (Establish use as and construct 2 new single family residences with surface parking, per plan.  Review & process for 2 AP's under permit #6618030).",Single Family/Duplex,2019-12-23
6595364-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2019-12-23
6641978-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2019-12-20
6631169-CN,"Construct north unit, per plans. (Establish use as and construct 3 single-family residences, per plans. Reviews and processing for 3 A/P's under 6607159)",Single Family/Duplex,2019-12-20
6651187-CN,"Construct West townhouse building, per plan (Establish use as and construct (2) townhouse buildings / review and process for 2 Records under 6651187-CN)",Multifamily,2019-12-20
6670324-CN,"Construct East townhouse building, per plan (Establish use as and construct (2) townhouse buildings / review and process for 2 Records under 6651187-CN)",Multifamily,2019-12-20
6631170-CN,"Construct south unit, per plans. (Establish use as and construct 3 single-family residences, per plans. Reviews and processing for 3 A/P's under 6607159)",Single Family/Duplex,2019-12-20
6425832-CN,"Construct 3 unit townhouse - building ""H""this permit. (Establish use as and construct (8) 3 unit townhouses and (1) 2 unit townhouse, all w/ attached garages, per plans. Review and processing for 9 A/P's under 6146807)",Multifamily,2019-12-19
6425831-CN,"Construct 3 unit townhouse - building ""G""this permit. (Establish use as and construct (8) 3 unit townhouses and (1) 2 unit townhouse, all w/ attached garages, per plans. Review and processing for 9 A/P's under 6146807)",Multifamily,2019-12-19
6611006-CN,"Establish use as and construct a single family residence, per plans",Single Family/Duplex,2019-12-18
6635888-CN,Establish use as and construct a single-family residence per plans.,Single Family/Duplex,2019-12-17
6585212-CN,"Establish use as and construct single family residence with attached garage, per plan",Single Family/Duplex,2019-12-16
6612364-CN,Establish use and construct duplex dwelling with attached parking per plan.,Single Family/Duplex,2019-12-12
6641897-CN,"Construct west townhouses, per plans.  (Establish use as townhouses and construct two 4-unit townhouses.  Reviews and processing for 2 A/Ps under 6594541",Multifamily,2019-12-12
6570522-CN,"Establish use as and construct a townhouse building (Bldg. M), per plans.",Multifamily,2019-12-12
6594541-CN,"Construct east townhouses, per plans.  (Establish use as townhouses and construct two 4-unit townhouses.  Reviews and processing for 2 A/Ps under 6594541)",Multifamily,2019-12-12
6667437-CN,"Establish use as and construct a single-family residence with attached garage, per plans.",Single Family/Duplex,2019-12-11
6566057-CN,Establish use and construct a single family dwelling with attached garage per plan.,Single Family/Duplex,2019-12-11
6484992-CN,"Establish use as apartments, construct apartment building with basement garage and occupy, per plans.",Multifamily,2019-12-11
6672860-CN,"Construct new addition to existing single family residence, per STFI",Single Family/Duplex,2019-12-10
