permit number,description,building type,completed date
6735161-CN,"Construct south building (Establish use as townhouse and construct 2 duplex structures, per plan. Review & process for 2 records under #6735161-CN).",Multifamily,2021-01-27
6744045-CN,"Construct north building (Establish use as townhouse and construct 2 duplex structures, per plan. Review & process for 2 records under #6735161-CN).",Multifamily,2021-01-27
6681276-CN,"Establish use as townhouse and construct new apartment building with parking garage, occupy per plan.",Multifamily,2021-01-27
6682532-CN,"Establish use as single family residence and construct single family dwelling with attached carport, per plan.",Single Family/Duplex,2021-01-27
6706090-CN,"Establish use as and construct single family residence, per plan.   (Establish Standard Plan, 2nd review done under 6745573-CN)",Single Family/Duplex,2021-01-27
6696544-CN,"Construct new West single family residence (bldg A), per plan. (Establish use as and construct 4 new single family residences, per plan. Review & process for 4 records under permit # 6696544-CN). Demolish existing Single Family Home.",Single Family/Duplex,2021-01-27
6698075-CN,"Establish use as rowhouse and construct townhouse structure, per plan.",Multifamily,2021-01-26
6589041-CN,"Establish use as rowhouses and construct a townhouse building, per plans",Multifamily,2021-01-26
6716049-CN,"Construct north duplex, per plan. (Establish use as and construct 2 duplexes with attached garages, per plan. Review and process for 2 record numbers under 6699406-CN)",Single Family/Duplex,2021-01-22
6699406-CN,"Construct south duplex, per plan. (Establish use as and construct 2 duplexes with attached garages, per plan. Review and process for 2 record numbers under 6699406-CN)",Single Family/Duplex,2021-01-22
6753091-CN,"Establish use as and construct a new single family residence with attached garage and one Detached Accessory Dwelling Unit, per plan.",Single Family/Duplex,2021-01-21
6754329-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2021-01-20
6739647-CN,"Establish use and construct single family residence, per plan.",Single Family/Duplex,2021-01-20
6678236-CN,"Establish use as rowhouse and construct townhouse, per plan.",Multifamily,2021-01-20
6679596-CN,"Establish use as rowhouse and construct new 3-unit townhouse building with surface parking, per plan.",Multifamily,2021-01-20
6608334-CN,"Construct new East single-family residence, per plan (Establish use as and construct (3) single family residences, review and process for 3 AP's under 6608334)",Single Family/Duplex,2021-01-20
6756859-CN,"Establish use as and construct new single family residence with attached garage and detached accessory dwelling unit (DADU), per plan",Single Family/Duplex,2021-01-19
6747064-CN,"Construct East townhouse building B, per plan. (Establish use as townhouse and construct a duplex and a townhouse structure with surface parking, per plan. Review and process for 2 record numbers under 6738378-CN)",Multifamily,2021-01-19
6726526-CN,"Establish use as and construct a single-family residence and a detached accessory dwelling unit, per plans.",Single Family/Duplex,2021-01-19
6701094-CN,"Establish use as rowhouse and construct new townhouse structure, per plan.",Multifamily,2021-01-19
6548325-CN,"Establish use as and construct a townhouse building, per plans",Multifamily,2021-01-19
6684251-CN,"Construct duplex rowhouse, building per plans.",Single Family/Duplex,2021-01-15
6688044-CN,"Establish use as Rowhouse and construct residential townhouse, per plan.",Multifamily,2021-01-15
6575774-CN,"3/15/21 REM: Expiration date extended to 4/23/21 to allow for completion of site work.  Construct bldg, A, per plans. (Establish use as and construct townhouse buildings and site work including retaining walls, per plans. Reviews and processing for 18 A/P's under 6575774)",Multifamily,2021-01-14
6448291-CN,"Construct new multifamily structure, occupy per plan.",Multifamily,2021-01-14
6677008-CN,"Construct new single-family residence, per plan. [Establish use as live/work units and single-family residence and construct 1 new live/work building and 1 new single-family dwelling, per plan. Review and process for 2 Records under 6650418-CN]",Single Family/Duplex,2021-01-13
6676594-CN,"Construct east single family residence, per plan (Construct live-work townhouse and single family residence, per plan - Review for 2 records under 6650402-CN)",Single Family/Duplex,2021-01-13
6656555-CN,"Establish use as and construct a single family residence and detached accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2021-01-13
6650418-CN,"Construct new 2-unit live/work, per plan. [Establish use as live/work units and single-family residence and construct 1 new live/work building and 1 new single-family dwelling, per plan. Review and process for 2 Records under 6650418-CN]",Single Family/Duplex,2021-01-13
6731859-CN,"Establish use as and construct new single family residence with attached garage on portion of existing foundation, per plan.",Single Family/Duplex,2021-01-12
6684259-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2021-01-12
6710131-CN,"Establish use as and construct single family residence with attached garage, per standard plan #6713913-SP",Single Family/Duplex,2021-01-12
6706085-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2021-01-11
6702098-CN,"Establish use as rowhouse and construct a 4 unit townhouse structure, per plan.",Multifamily,2021-01-07
6680699-CN,"Establish use as rowhouses and construct duplex, per plans.",Single Family/Duplex,2021-01-06
6693423-CN,"Construct new single-family residence (SFR #4), per plan.",Single Family/Duplex,2021-01-06
6693424-CN,"Construct new single-family residence (SFR #5), per plan.",Single Family/Duplex,2021-01-06
6672156-CN,"Construct new single-family residence (SFR #1), per plan. [Establish use as and construct (6) new single-family residences with attached garages. Review and process for 6 construction records under 6672156-CN.]",Single Family/Duplex,2021-01-06
6675504-CN,"Establish use as townhouse and construct duplex, per plan.",Single Family/Duplex,2021-01-06
6693421-CN,"Construct new single-family residence (SFR #2), per plan.",Single Family/Duplex,2021-01-04
6693427-CN,"Construct new single-family residence (SFR #6), per plan.",Single Family/Duplex,2021-01-04
6527677-CN,"Establish use and construct a multifamily structure with attached garage, occupy per plan.",Multifamily,2021-01-04
6537284-CN,"Construct new multifamily building, occupy per plan",Multifamily,2020-12-30
6709445-CN,"Construct two-family dwelling, per plan.  (Establish use as rowhouse and construct a townhouse structure with live/work units and a two-family dwelling / review and processing for 2 records under # 6693985-CN.)",Single Family/Duplex,2020-12-29
6580541-CN,"Construct a multi-family building and, occupy per plan.",Multifamily,2020-12-28
6649070-CN,"Construct new SOUTH townhouse, per plan (Establish use as rowhouse and construct (2) townhouse buildings. Review and process for (2) A/P's under 6536391).",Single Family/Duplex,2020-12-23
6626699-CN,"Establish use and construct four-unit structure with townhouse unit and live/work units and occupy, per plan.",Multifamily,2020-12-22
6694557-CN,"Establish use and construct single family dwelling with detached garage, per plan.",Single Family/Duplex,2020-12-21
6624713-CN,"Construct two unit town house, per plan (Establish use as and construct two single family residences and a two unit townhouse, per plan 3 APs under 6599587.",Multifamily,2020-12-21
6624714-CN,"Construct north single family residence, per plan (Establish use as and construct two single family residences and a two unit townhouse, per plan 3 APs under 6599587.",Multifamily,2020-12-21
6599587-CN,"Construct south single family residence, per plan (Establish use as and construct two single family residences and a two unit townhouse, per plan 3 APs under 6599587).",Multifamily,2020-12-21
6595940-CN,"Establish the use as and construct a townhouse building, per plans.",Multifamily,2020-12-21
6767402-CN,"Construct detached accessory dwelling unit (DADU) to existing single family residence, per plan.",Single Family/Duplex,2020-12-18
6614344-CN,"Establish use as and construct south single family residence with covered parking, per plan (Establish use as and construct two single family residences with covered parking, per plan . 2 APs under 6598761)",Single Family/Duplex,2020-12-18
6639001-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-12-18
6732352-CN,"Establish use as rowhouse and construct 3-unit townhouse, per plan.",Multifamily,2020-12-17
6732354-CN,"Establish use as rowhouse and construct townhouse structure, per plan.",Multifamily,2020-12-17
6730976-CN,"Establish use as rowhouse and construct 3-unit townhouse, per plan.",Multifamily,2020-12-17
6722073-CN,"Establish use as rowhouse and construct townhouse structure, per plan.",Multifamily,2020-12-17
6626788-CN,"Establish use and construct a 4 unit townhouse complex, per plan.",Multifamily,2020-12-17
6742352-CN,"Establish use and construct single-family residence with attached garage, per plan.(Establish Standard Plan, 1st review done under 6706090-CN)",Single Family/Duplex,2020-12-16
6729256-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-12-16
6638301-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2020-12-16
6630688-CN,"Construct a single family residence, per plan.",Single Family/Duplex,2020-12-15
6651616-CN,"Establish use as and construct new townhouse building with surface parking, per plan.",Multifamily,2020-12-14
6726174-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2020-12-11
6650993-CN,Construct new multifamily building per plan. Mechanical included.,Multifamily,2020-12-10
6743376-CN,"Establish use and Construct single-family residence, per plan.",Single Family/Duplex,2020-12-09
6693961-CN,"Establish use and construct new single-family residence, per plan.",Single Family/Duplex,2020-12-09
6682622-CN,"Construct East townhouse building, per plan (Establish use as and construct (2) new townhouse buildings review and process for 2 Records under 6653782)",Multifamily,2020-12-09
6684136-CN,"Establish use as and construct a single-family residence with attached garage and a detached accessory dwelling unit (DADU), per plan.",Single Family/Duplex,2020-12-08
6722663-CN,"Construct new duplex (east building), per plan. (Establish use as townhouse and construct 3 duplexes review and process for 3 CN's under 6702897-CN)",Single Family/Duplex,2020-12-07
6672504-CN,"Establish use as and construct a single-family residence with attached carport, per plan.",Single Family/Duplex,2020-12-04
6620473-CN,"Establish use as and construct new townhouse building, per plan",Multifamily,2020-12-04
6652520-CN,"Establish use as rowhouse and construct townhouse structure, per plan.",Multifamily,2020-12-04
6607768-CN,"Establish use as rowhouse and construct new townhouse, per plan.",Multifamily,2020-12-04
6605185-CN,"Establish use as residential and retail and construct a mixed-use apartment building, occupy per plan. Mechanical is included.",Multifamily,2020-12-04
6675627-CN,"Construct new (north) 3-unit townhouse building, per plan. [Establish use as townhouse and duplex, Construct new 3-unit townhouse building and convert existing single-family residence into duplex, per plan. Review and process for (2) Construction Records under 6675627-CN.]",Multifamily,2020-12-03
6677456-CN,"Construct 2-Unit Townhouse with attached garages, per plan (existing structure to remain)",Single Family/Duplex,2020-12-03
6672334-CN,"Establish use as row house and construct new duplex, per plan"". South building. All reviews done under 6614215-CN",Multifamily,2020-12-03
6735249-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2020-12-01
6604399-CN,"Establish use as and construct a single-family residence with attached garage, per plan.",Single Family/Duplex,2020-12-01
6583266-CN,"Establish use as and construct single family residence with attached garage, per plan",Single Family/Duplex,2020-12-01
6594717-CN,"Establish use as and construct single family residence, per plan.  Establish Standard Plan (AP# 6596578).",Single Family/Duplex,2020-11-30
6802477-CN,"Construct roof over existing deck for single family residence, subject to field inspection.",Single Family/Duplex,2020-11-25
6718800-CN,"Construct new West townhouse structure, per plan. (Establish use as and construct two new townhouse structures, per plan. Review & process for 2 records under permit #6718800-CN).",Multifamily,2020-11-25
6694276-CN,"Establish use as and construct single family residence, per plan.",Single Family/Duplex,2020-11-25
6672144-CN,"Establish use as rowhouse and construct new townhouse, per plan.",Multifamily,2020-11-25
6698926-CN,"Establish use and construct single family dwelling, per plans.",Single Family/Duplex,2020-11-24
6683930-CN,"Establish use as rowhouses and construct four townhouses, per plan.",Multifamily,2020-11-24
6486711-CN,"Establish use as and construct new single family residence with attached garage, per plans.",Single Family/Duplex,2020-11-24
6489133-CN,"Establish use as apartments and construct new apartment building with below grade parking, occupy per plan.",Multifamily,2020-11-24
6685232-CN,"Construct new south duplex, per plan. [Establish use as townhouses and Construct (2) new duplexes, per plan. Review and processing for (2) construction records under 6685232-CN.]",Multifamily,2020-11-23
6700103-CN,"Construct new North duplex structure, per plan. (Establish use as townhouse and construct 2 duplex structures, per plan. Review & process for 2 records under permit #6693840-CN)",Multifamily,2020-11-23
6693840-CN,"Construct new South duplex structure, per plan. (Establish use as townhouse and construct 2 duplex structures, per plan.  Review & process for 2 records under permit #6693840-CN)",Multifamily,2020-11-23
6699789-CN,"Construct new north duplex, per plan. [Establish use as townhouses and Construct (2) new duplexes, per plan. Review and processing for (2) construction records under 6685232-CN.]",Multifamily,2020-11-23
6672117-CN,"Construct new 6-unit townhouse building, per plan.",Multifamily,2020-11-23
6580688-CN,"Establish use as and construct a single-family residence, per plans",Single Family/Duplex,2020-11-23
6495184-CN,"Establish use as apartment and construct new multifamiy building (SEDU), occupy per plan.",Multifamily,2020-11-23
6687329-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-11-20
6692805-CN,"Construct north townhouse structure #2, per plan. (Establish use as rowhouse and construct 2 townhouse structures with surface parking. Review and process for 2 record numbers under 6675499-CN)",Multifamily,2020-11-20
6675499-CN,"Construct south townhouse structure #1, per plan. (Establish use as rowhouse and construct 2 townhouse structures with surface parking. Review and process for 2 record numbers under 6675499-CN)",Multifamily,2020-11-20
6779993-CN,"Establish existing single-family residence as detached accessory dwelling unit [DADU] and construct single-family residence with attached accessory dwelling unit [AADU], per plan.  Existing detached garage to be removed.",Single Family/Duplex,2020-11-19
6699190-CN,"Establish use as and construct a single-family residence, per plans.",Single Family/Duplex,2020-11-19
6648189-CN,"Establish use as rowhouse and construct new townhouse structure, per plan.",Multifamily,2020-11-19
6648207-CN,"Establish use as and construct new single family residence, per plan.",Single Family/Duplex,2020-11-19
6692791-CN,"Establish use and construct new single-family residence, per plan.",Single Family/Duplex,2020-11-18
6689138-CN,"Establish use as and construct a single-family residence with Accessory Dwelling Unit (ADU) and attached garage, per plan.",Single Family/Duplex,2020-11-16
6681184-CN,"Construct EAST Townhouse, per plan (Establish use as townhouses and construct north townhouse, east duplex and west duplex townhouses / review and process for 3 records under 6680024-CN).",Multifamily,2020-11-16
6681185-CN,"Construct WEST Townhouse, per plan (Establish use as townhouses and construct north townhouse, east duplex and west duplex townhouses / review and process for 3 records under 6680024-CN).",Multifamily,2020-11-16
6680024-CN,"Construct NORTH Townhouse, per plan (Establish use as townhouses and construct north townhouse, east duplex and west duplex townhouses / review and process for 3 records under 6680024-CN).",Multifamily,2020-11-16
6551582-CN,"Establish use as and construct single-family residence, per plans",Single Family/Duplex,2020-11-16
6571050-CN,"Construct 8-unit townhouse structure (Building D, units 10-17), per plans",Multifamily,2020-11-16
6481795-CN,"Construct new duplex with attached garages, per plan. (project includes demolition of existing accessory garage)",Single Family/Duplex,2020-11-16
6753266-CN,"Construct new detached accessory dwelling unit (DADU) over new detached garage, accessory to existing single family residence, per plan.",Single Family/Duplex,2020-11-12
6687554-CN,"Establish use as row house and construct a townhouse building with surface parking, per plan.",Single Family/Duplex,2020-11-12
6710133-CN,"Establish use as and construct single family residence with attached garage, per standard plan # 6713913-SP.",Single Family/Duplex,2020-11-09
6692271-CN,"Establish use and construct new single-family residence, per plan.",Single Family/Duplex,2020-11-06
6556009-CN,"Establish use as single family residence and construct one family dwelling, per plans.",Single Family/Duplex,2020-11-06
6607735-CN,"Establish use as townhouse and construct new duplex on west portion of property, per plan.",Single Family/Duplex,2020-11-05
6688818-CN,"Construct single family residence (northeast building 4), per plans.  (Establish use for 6 single family residences and construct 6 one-family dwellings.  Reviews and processing for 6 construction records under 6682520-CN)",Single Family/Duplex,2020-11-04
6682520-CN,"Construct single family residence (northwest building 1), per plans.  (Establish use for 6 single family residences and construct 6 one-family dwellings.  Reviews and processing for 6 construction records under 6682520-CN).",Single Family/Duplex,2020-11-04
