,PermitNum,PermitClass,AppliedDate,CompletedDate,Description
330,6398370-CN,Multifamily,2014-01-06,2016-02-05,Construct townhouse with attached garage and occupy per plan (Establish use as townhomes and single family residences and construct three new single family residences and one duplex townhome with parking with soldier pile & lagging on adjacent property/review & process for 5 AP's under # 6366857).
331,6398369-CN,Multifamily,2014-01-06,2016-01-28,Construct West single family residence with attached garage and occupy per plan. (Establish use as townhomes and single family residences and construct three new single family residences and one duplex townhome with parking with soldier pile & lagging on adjacent property/review & process for 5 AP's under # 6366857).
332,6377734-CN,Single Family/Duplex,2013-12-28,2016-11-23,"Construct east duplex per plan (this permit), per plans. (Establish use as townhouses and single family residences and construct 1 new duplex with attached parking and 2 new single family residences with surface parking/reviews and processing for 3 Ap's under 6377734)"
333,6397382-CN,Single Family/Duplex,2013-12-28,2016-11-23,"Construct SOUTH single family residence this permit, per plan. (Establish use as townhouses and single family residences and construct 1 new duplex with attached parking and 2 new single family residences with surface parking/reviews and processing for 3 Ap's under 6377734)"
334,6389376-CN,Single Family/Duplex,2013-12-23,2016-04-06,"Establish use as and construct a duplex with attached garages, and occupy, per plan."
335,6383570-CN,Single Family/Duplex,2013-12-20,2016-05-23,"Construct ""A"" Boarding House building, this permit. (Establish uses as and construct Boarding House duplex and Live-Work duplex, occupy per plans)."
336,6396203-CN,Single Family/Duplex,2013-12-20,2016-06-08,"Construct ""B"" live/work building per plan (Establish uses as and construct Boarding House duplex and Live/Work duplex)."
337,6372768-CN,Multifamily,2013-12-20,2015-04-10,"Construct a 4-UNIT TOWNHOME with two ADU's this permit and occupy, per plan. No parking required.(Establish use as townhomes and construct one duplex with two ADU's, one 4-unit townhome with two ADU's, with two surface parking spaces off alley, and one single family residence/review & process for 3 AP's under #6372768)."
338,6396960-CN,Single Family/Duplex,2013-12-19,2015-04-10,"Construct SW SINGLE FAMILY RESIDENCE without parking this permit occupy, per plan. (Establish use as townhomes and construct one duplex and one 4-unit townhome without parking and one single family residence/review & process for 3 AP's under #6372768)."
339,6389358-CN,Single Family/Duplex,2013-12-19,2016-03-30,"Establish use as and construct two unit townhouse (duplex) with attached garage, per plan."
340,6396844-CN,Single Family/Duplex,2013-12-19,2015-07-20,"Construct Duplex family residence. (Establish use for and construction of single family residence and 2-unit townhouse, per plans. Reviews and processing for 2 A/P's under 6389860)."
341,6391375-CN,Single Family/Duplex,2013-12-19,2015-07-22,"Establish use as rowhouses, construct duplex with surface parking, and occupy, per plan."
342,6396959-CN,Single Family/Duplex,2013-12-19,2015-04-10,"Construct CENTER DUPLEX without parking this permit occupy, per plan. (Establish use as townhomes and construct one duplex and one 4-unit townhome without parking and one single family residence/review & process for 3 AP's under #6372768)."
343,6396642-CN,Multifamily,2013-12-19,2015-06-24,Construct 2-unit (Duplex) townhouse with attached garages and occupy per plan (Establish use as townhomes with attached garages and construct two townhome buildings/review and process for 2 AP's under #6371318).
344,6395736-CN,Multifamily,2013-12-12,2015-03-19,"Construct duplex Bldg B (South) and occupy, per plan (Establish use as townhouses and construct 2 duplexes, one with attached garages/review & process for 2 AP's under #6369298)."
345,6369298-CN,Multifamily,2013-12-12,2015-04-17,"Construct duplex Bldg A (north) and occupy, per plan (Establish use as townhouses and construct 2 duplexes, one with attached garages/review & process for 2 AP's under #6369298)."
346,6387706-CN,Multifamily,2013-12-03,2015-08-24,"Construct northwest three-unit townhouse structure, per plan. (Construct 2 duplex townhouse structures and 2 three-unit townhouse structures with surface parking, per plan / Review and processing for 4 AP's under 6387706)"
347,6389539-CN,Single Family/Duplex,2013-12-03,2016-08-19,"Establish use as rowhouses and Construct new duplex with attached garage and surface parking, per plan."
348,6393675-CN,Multifamily,2013-12-02,2015-08-24,"Construct southwest duplex townhouse structure, per plan. (Construct 2 duplex townhouse structures and 2 three-unit townhouse structures with surface parking, per plan / Review and processing for 4 AP's under 6387706)"
349,6388956-CN,Single Family/Duplex,2013-11-26,2014-12-31,Construct townhouse duplex per plan (western most units 1&2)(Establish Use and Construct (2) unit townhouse and (3) single family residences. Review and Process of (4) AP's  under 6388956.)
350,6393677-CN,Multifamily,2013-11-25,2015-08-24,"Construct southeast three-unit townhouse structure, per plan. (Construct 2 duplex townhouse structures and 2 three-unit townhouse structures with surface parking, per plan / Review and processing for 4 AP's under 6387706)"
