,PermitNum,PermitClass,AppliedDate,CompletedDate,Description
3606,6191232-CN,Single Family/Duplex,2008-11-07,2009-10-29,Establish use as a single family residence and construct one new single family dwelling with attached garage on vacant land per plan.
3607,6193456-CN,Single Family/Duplex,2008-11-04,2010-02-24,"Construct new single family residence on north portion of lot, per plan."
3608,6189649-CN,Single Family/Duplex,2008-11-03,2010-04-06,"Establish use as new single family residence and construct single family residence with attached garage, per plans."
3609,6159921-CN,Single Family/Duplex,2008-11-03,2012-10-16,"Establish use as and construct new single family residence with attached garage, per plan."
3610,6192478-CN,Single Family/Duplex,2008-10-21,2010-07-01,Establish and Construct new single family residence per plan.
3611,6196211-CN,Single Family/Duplex,2008-10-20,2012-05-04,"Construct a new single family dwelling (Boarding House) with attached unenclosed garage(s), all per plan."
3612,6198001-CN,Single Family/Duplex,2008-10-17,2009-02-06,"Construct one car garage, accessory to single family residence, per plot plan, subject to field inspection (STFI)."
3613,6194444-CN,Single Family/Duplex,2008-10-10,2010-01-21,"Establish use as single family residence and construct single family dwelling with attached garage, per plan."
3614,6182337-CN,Single Family/Duplex,2008-10-02,2009-08-17,Construct one single family residence (Construct 4 single family residences - establish 5 surface parking spots - review and processing for 4 AP's under project #6182337)
3615,6196382-CN,Single Family/Duplex,2008-10-01,2009-06-29,Construct one single family residence (Construct 4 single family residences - establish 5 surface parking spots - review and processing for 4 AP's under project #6182337)
3616,6196381-CN,Single Family/Duplex,2008-10-01,2009-08-17,Construct one single family residence (Construct 4 single family residences - establish 5 surface parking spots - review and processing for 4 AP's under project #6182337)
3617,6196380-CN,Single Family/Duplex,2008-10-01,2009-08-17,Construct one single family residence (Construct 4 single family residences - establish 5 surface parking spots - review and processing for 4 AP's under project #6182337)
3618,6182761-CN,Single Family/Duplex,2008-09-19,2012-12-18,Establish use and construct new single family residence on vacant land with attached garage per plan /
3619,6189794-CN,Single Family/Duplex,2008-09-15,2010-06-24,Establish use as and construct single family residence with attached garage per plans.
3620,6175033-CN,Single Family/Duplex,2008-09-08,2010-03-30,"Establish use and construct single family residence with attached garage, per plans."
3621,6190203-CN,Single Family/Duplex,2008-09-04,2010-05-25,"Remove shed, Establish use and construct new 2-story single family residence w/attached garage, per plan"
3622,6189233-CN,Single Family/Duplex,2008-09-03,2009-12-22,"Establish use as and construct new single family residence with attached garage and occupy, per plan"
3623,6169042-CN,Single Family/Duplex,2008-09-02,2010-09-22,"Establish use as and construct a single family residence with attached garage, per plan."
3624,6177195-CN,Single Family/Duplex,2008-08-29,2010-03-29,"Establish use and construct single family residence with detached garage per plan  (Revised building is 3 stories above grade and one story below grade, Changed ""detached garage"" to ""attached garage"" 8/18/09 J meyers"
3625,6190659-CN,Single Family/Duplex,2008-08-28,2012-05-15,Establish use as a single family residence and DADU construct one single family dwelling with detached garage and DADU per plan.
3626,6157949-CN,Single Family/Duplex,2008-08-21,2011-01-20,Establish and construct new single family residence per standard plan   #6175908.
3627,6157950-CN,Single Family/Duplex,2008-08-21,2011-04-04,Establish and construct new single family residence per standard plan   #6175908.
3628,6185457-CN,Single Family/Duplex,2008-08-21,2009-10-01,Establish use as single family residence and construct one single family dwelling per plans.
3629,6145485-CN,Single Family/Duplex,2008-08-21,2010-12-08,Establish and construct new single family residence per standard plan   #6175908.
3630,6188256-CN,Single Family/Duplex,2008-08-20,2010-04-05,"Establish use as and construct single family residence with attached garage, per plan."
3631,6188713-CN,Single Family/Duplex,2008-08-20,2009-08-11,"Establish use as and construct single family residence with attached garage, per plan."
3632,6184792-CN,Single Family/Duplex,2008-08-19,2010-05-17,Establish and construct new single family residence per plan.
3633,6166894-CN,Single Family/Duplex,2008-08-19,2011-01-14,"Establish used and construct single family residence, per plan."
3634,6191283-CN,Single Family/Duplex,2008-08-14,2010-05-04,Construct single family residence (southwest) per plan. (Establish use as cottage housing and construct seven single family residences with surface parking per plan/review and processing for 7 AP's under #6182947).
3635,6191279-CN,Single Family/Duplex,2008-08-14,2010-05-04,Construct single family residence (northeast) per plan. (Establish use as cottage housing and construct seven single family residences with surface parking per plan/review and processing for 7 AP's under #6182947).
3636,6191284-CN,Single Family/Duplex,2008-08-14,2010-05-04,Construct single family residence (midwest) per plan. (Establish use as cottage housing and construct seven single family residences with surface parking per plan/review and processing for 7 AP's under #6182947).
3637,6182947-CN,Single Family/Duplex,2008-08-14,2017-02-13,Construct single family residence (northwest) per plan. (Establish use as cottage housing and construct seven single family residences with surface parking per plan/review and processing for 7 AP's under #6182947).
3638,6191281-CN,Single Family/Duplex,2008-08-14,2010-05-04,Construct single family residence (mideast) per plan. (Establish use as cottage housing and construct seven single family residences with surface parking per plan/review and processing for 7 AP's under #6182947).
3639,6191282-CN,Single Family/Duplex,2008-08-14,2010-05-04,Construct single family residence (southeast) per plan. (Establish use as cottage housing and construct seven single family residences with surface parking per plan/review and processing for 7 AP's under #6182947).
3640,6191280-CN,Single Family/Duplex,2008-08-14,2010-05-04,Construct single family residence (mideast) per plan. (Establish use as cottage housing and construct seven single family residences with surface parking per plan/review and processing for 7 AP's under #6182947).
3641,6164308-CN,Single Family/Duplex,2008-08-13,2010-04-05,"Establish Use & Construct a single family residence, per plan."
3642,6183149-CN,Single Family/Duplex,2008-08-12,2010-01-12,"Establish use and construct single family residence with attached garage, per plan."
3643,6153043-CN,Single Family/Duplex,2008-08-11,2009-06-04,"Establish use and construct single family residence with attached garage, per plan."
3644,6177566-CN,Single Family/Duplex,2008-08-08,2009-06-26,Establish and construct new single family residence per plan.
3645,6187202-CN,Single Family/Duplex,2008-08-06,2012-09-28,"Establish use as and construct new single family residence, per plan."
3646,6187003-CN,Single Family/Duplex,2008-08-06,2010-08-10,Construct and establish use as single family residence per plan.
3647,6182525-CN,Single Family/Duplex,2008-08-01,2010-03-31,Establish use as and construct new single family residence with detached accessory garage per plan.
3648,6115249-CN,Single Family/Duplex,2008-07-25,2009-09-14,"Establish use and construct new 2 story single family residence with attached garage, per plan."
3649,6178653-CN,Single Family/Duplex,2008-07-11,2009-06-09,Establish use and construct new Single Family Residence per plan.
3650,6154291-CN,Single Family/Duplex,2008-07-10,2012-02-06,Establish as single family residence and construct new one single family residence dwelling with attached garage per plans.
3651,6170607-CN,Single Family/Duplex,2008-07-01,2009-08-19,Construct new single family residence per plan
3652,6183277-CN,Single Family/Duplex,2008-06-30,2010-01-04,Establish use and construct single family residence with attached garage per plans
3653,6127363-CN,Single Family/Duplex,2008-06-30,2009-07-22,"Establish use and construct new single family residence with 2 parking spaces, per plan."
3654,6163820-CN,Single Family/Duplex,2008-06-30,2010-07-06,"5/20/2009 HUD.  EXTENSION GRANTED. SUBJECT TO CANCELLATION AFTER 6/30/2010.  Construct South single family residence this permit.(Establish use as and construct 2 single family residences with surface parking, per plan.  Review and processing for 2 a/p under 6163820)."
3655,6186217-CN,Single Family/Duplex,2008-06-30,2010-07-06,"5/20/2009 HUD.  EXTENSION GRANTED. SUBJECT TO CANCELLATION AFTER 6/30/2010. Construct North single family residence this permit.(Establish use as and construct 2 single family residences with surface parking, per plan.  Review and processing for 2 a/p under 6163820)."
3656,6180905-CN,Single Family/Duplex,2008-06-25,2010-11-19,"Establish Use & Construct new single family residence with attached garage, per plan."
3657,6173986-CN,Single Family/Duplex,2008-06-25,2012-12-17,Establish use as Single Family Residence and  Construct a 3 story single family residence with attached garage per plans.
3658,6170894-CN,Single Family/Duplex,2008-06-20,2009-08-24,Construct and establish one single family dwelling unit per plans.
3659,6173273-CN,Single Family/Duplex,2008-06-20,2012-12-17,"Establish use as a single family residence. Construct a 3-story single family residence with attached garage, per plan."
3660,6163210-CN,Single Family/Duplex,2008-06-19,2010-05-06,"Establish use and construct single family residence with attached garage, per plan."
3661,6172717-CN,Single Family/Duplex,2008-06-18,2010-03-30,Construct new single family residence and Establish one single family dwelling with attached 2-car garage per plans
3662,6181194-CN,Single Family/Duplex,2008-06-16,2010-06-02,Establish use and construct one new Single Family Residence with attached garage per plan.
3663,6179483-CN,Single Family/Duplex,2008-06-13,2010-09-10,"Construct new single family residence with attached garage, per plan."
3664,6181235-CN,Single Family/Duplex,2008-06-12,2013-01-31,Establish use and construct new single family residence per plan.
3665,6177087-CN,Single Family/Duplex,2008-06-12,2009-09-28,Establish use as a single family residence and construct a new single family residence per plan.
3666,6180320-CN,Single Family/Duplex,2008-06-11,2010-02-23,Construct new Single Family Residence and Establish one single family residence with attached garage per plans
3667,6180326-CN,Single Family/Duplex,2008-06-11,2010-05-14,Construct new Single family residence and establish one single family residence with attached garage per plans
3668,6184009-CN,Single Family/Duplex,2008-06-11,2011-08-31,"Establish use and construct South 3-story single family residence,with attached garage, per plan. (Establish use as and construct two- 3-story single family residence with attached garage - 2 A/P's under 6109272)."
3669,6109272-CN,Single Family/Duplex,2008-06-11,2012-02-16,"Establish use and construct North 3-story single family residence,with attached garage, per plan. (This permit 6184009). (Establish use as and construct two- 3-story single family residence with attached garage - 2 A/P's under 6109272)."
3670,6156956-CN,Multifamily,2008-06-09,2009-12-14,Construct east triplex (establish use and construct 1 new 3-unit townhouse with garages and 2 new single family redsidences with surface parking per plan / review + process 3 APs under 6156956)
3671,6171605-CN,Single Family/Duplex,2008-06-06,2008-09-23,"Construct accessory structure in rear yard of single family dwelling per plan, and subject to field inspection (STFI)."
3672,6173456-CN,Single Family/Duplex,2008-06-05,2011-02-25,"Establish use as a single family residence and construct a new single family dwelling with surface parking, per plan."
3673,6174657-CN,Single Family/Duplex,2008-06-04,2014-03-05,Establish use and construct new single family dwelling with attached garage per plan. 7/16/2010 BEW add pin piles to geotech special inspections burtce 6/3/10
3674,6067565-CN,Single Family/Duplex,2008-05-30,2010-10-21,"Establish use as a single family residence and construct one new single family dwelling with attached garage on vacant lot, per plan."
3675,6175047-CN,Single Family/Duplex,2008-05-29,2009-04-14,"Establish use and construct single family dwelling with attached garage, per plan"
3676,6175704-CN,Single Family/Duplex,2008-05-28,2009-10-21,"Establish use and construct single family residence with attached garage, per plan."
3677,6176038-CN,Single Family/Duplex,2008-05-28,2009-06-12,Establish use as a single family residence and construct one single family dwelling with attached 2 car garage per plan.
3678,6182347-CN,Single Family/Duplex,2008-05-28,2010-12-27,Construct duplex (middle bldg) per plan. (Construct three 2-unit structures and two single family residences with surface parking and site retaining walls per plan/process and review of 5 APs under #6147352.)
3679,6147352-CN,Single Family/Duplex,2008-05-28,2010-12-27,Construct duplex (west bldg) per plan. (Construct three 2-unit structures and two single family residences with surface parking and site retaining walls per plan/process and review of 5 APs under #6147352.)
3680,6177089-CN,Single Family/Duplex,2008-05-27,2009-12-02,"Establish use and Consruct new single family dwelling with attached garage, per plan"
3681,6177093-CN,Single Family/Duplex,2008-05-27,2009-08-21,"Establish use and Construct new Single family dwelling with attached garage, per plan"
3682,6182350-CN,Single Family/Duplex,2008-05-27,2010-12-29,Construct single family residence (west bldg) per plan. (Construct three 2-unit structures and two single family residences with surface parking and site retaining walls per plan/process and review of 5 APs under #6147352.)
3683,6182348-CN,Single Family/Duplex,2008-05-27,2010-12-27,Construct duplex (east bldg) per plan. (Construct three 2-unit structures and two single family residences with surface parking and site retaining walls per plan/process and review of 5 APs under #6147352.)
3684,6182349-CN,Single Family/Duplex,2008-05-27,2010-12-27,Construct single family residence (east bldg) per plan. (Construct three 2-unit structures and two single family residences with surface parking and site retaining walls per plan/process and review of 5 APs under #6147352.)
3685,6139249-CN,Single Family/Duplex,2008-05-21,2015-10-28,"Establish use for and construct single family residence on auger cast pile/grade beam foundation, per plan."
3686,6181680-CN,Multifamily,2008-05-20,2009-12-15,Construct SW SFR (establish use and construct 1 new 3-unit townhouse with garages and 2 new single family redsidences with surface parking per plan / review + process 3 APs under 6156956)
3687,6181679-CN,Multifamily,2008-05-20,2009-12-21,Construct NW SFR (establish use and construct 1 new 3-unit townhouse with garages and 2 new single family redsidences with surface parking per plan / review + process 3 APs under 6156956)
3688,6180924-CN,Single Family/Duplex,2008-05-14,2009-09-28,"Establish use as and construct  single family residence. (Establish use and construct 4 single family residence,  4 A/P's under 6144670)"
3689,6177671-CN,Single Family/Duplex,2008-05-14,2010-04-23,"Construct and establish new single family dwelling with attached garage, per plans."
3690,6177701-CN,Single Family/Duplex,2008-05-14,2010-04-23,"Construct and establish new single family dwelling with attached garage, per plan."
3691,6144670-CN,Single Family/Duplex,2008-05-14,2009-05-07,"Establish use as and construct Northeast single family residence. (Establish use and construct 4 single family residence,  4 A/P's under 6144670)"
3692,6180923-CN,Single Family/Duplex,2008-05-14,2009-05-07,"Establish use as and construct  single family residence. (Establish use and construct 4 single family residence,  4 A/P's under 6144670)"
3693,6177232-CN,Single Family/Duplex,2008-05-12,2009-09-09,Establish use and construct a single family residence with attached garage per plan. (Standard plan 6154584).
3694,6180489-CN,Single Family/Duplex,2008-05-09,2010-01-19,"Construct and occupy west single family residence with attached garage this permit, per plan.(Construct and occupy two single family dwellings with attached garages. Review and process for 2 A/P's under 6179096)"
3695,6179096-CN,Single Family/Duplex,2008-05-09,2010-01-19,"Construct and occupy east single family residence with attached garage this permit, per plan.(Construct and occupy two single family dwellings with attached garages. Review and process for 2 A/P's under 6179096)"
3696,6173703-CN,Single Family/Duplex,2008-05-08,2010-10-27,"Establish use and construct new single family residence with attached garage on vacant land, per plan."
3697,6167827-CN,Single Family/Duplex,2008-05-07,2009-10-09,Establish Use and construct one single family residence with detached garage per plans.
3698,6167830-CN,Single Family/Duplex,2008-05-07,2009-10-09,Establish use and construct one single family residence with detached garage per plans.
3699,6177219-CN,Single Family/Duplex,2008-05-06,2009-01-26,Establish use and construct a new Single Family Residence with attached garage per plan.
3700,6167364-CN,Single Family/Duplex,2008-05-05,2011-06-09,Establish use as and construct new single family residence with attached garage per plan. 6/14/10 change in floor plan dimensions(width has increased).
3701,6176977-CN,Single Family/Duplex,2008-05-05,2011-06-01,"Establish use as and construct new single family residence with attached garage per plan. 6/14/10 Modified floor plan, addition of 500SF."
3702,6172406-CN,Single Family/Duplex,2008-05-02,2009-07-20,Establish use as and construct a new single family dwelling with attahced garage per plan.
3703,6176771-CN,Single Family/Duplex,2008-05-01,2009-11-04,"Establish use as and construct single family residence with attached garage, per plan."
3704,6136607-CN,Single Family/Duplex,2008-04-25,2009-08-20,"Establish use and construct new single family residence with attached garage and accessory dwelling unit (ADU) on vacant land, per plan"
3705,6175843-CN,Single Family/Duplex,2008-04-24,2008-11-25,Establish use and construct single family residence with attached garage per plan.
3706,6173381-CN,Single Family/Duplex,2008-04-23,2010-09-15,Establish use as single family residence and construct new single family dwelling with attached garage per plans.
3707,6168491-CN,Single Family/Duplex,2008-04-23,2010-11-15,Establish use as and construct new duplex dwelling this permit (Establish use and construct one single family residence and one duplex and three parking spaces per plan. Review and processing for two permits under project number 6168491)
3708,6178406-CN,Single Family/Duplex,2008-04-23,2010-11-23,Establish use as and construct new single family dwelling this permit (Establish use and construct one single family residence and one duplex and three parking spaces per plan. Review and processing for two permits under project number 6168491)
3709,6170779-CN,Single Family/Duplex,2008-04-21,2009-05-11,"Establish use as and construct a single family residence with detached garage, per plan."
3710,6151004-CN,Single Family/Duplex,2008-04-18,2008-12-05,Establish use and construct new 3-story single family residence with attached garage per plan.
3711,6177898-CN,Single Family/Duplex,2008-04-18,2013-02-04,Construct one single family residence (Establish use and construct two 2-unit townhouses and one single family residence per plans. Review and process 3 A/P's under 6142710).
3712,6146472-CN,Single Family/Duplex,2008-04-18,2013-02-04,Construct East duplex (Establish use and construct two 2-unit townhouses and one single family residence per plan. Review and process 3 A/P's under 6142710).
3713,6142710-CN,Single Family/Duplex,2008-04-17,2013-02-08,Construct West duplex (Establish use and construct two 2-unit townhouses and one single family residence per plan. Review and process 3 A/P's under 6142710).
3714,6177606-CN,Single Family/Duplex,2008-04-16,2015-07-06,Establish use for and construct one single family residence per plan. (Construct (9) single family dwellings and (2) duplex structures. Review and processing for 11 A/Ps under #6073255)
3715,6177601-CN,Single Family/Duplex,2008-04-16,2014-12-08,Establish use for and construct one single family residence per plan. (Construct (9) single family dwellings and (2) duplex structures. Review and processing for 11 A/Ps under #6073255)
3716,6073255-CN,Single Family/Duplex,2008-04-16,2016-03-02,Establish use for and construct northeast duplex structure per plan. (Construct (9) single family dwellings and (2) duplex structures. Review and processing for 11 A/Ps under #6073255)
3717,6170588-CN,Single Family/Duplex,2008-04-16,2010-05-20,Construct duplex this permit. (Establish use as and construct (1) single family dwelling and (1) duplex with 3 parking spaces per plan. Review and processing for 2 A/Ps under #6170588). Establish as a Standard Plan for both buildings.
3718,6177605-CN,Single Family/Duplex,2008-04-16,2014-12-08,Establish use for and construct one single family residence per plan. (Construct (9) single family dwellings and (2) duplex structures. Review and processing for 11 A/Ps under #6073255)
3719,6177608-CN,Single Family/Duplex,2008-04-16,2014-12-08,Establish use for and construct one single family residence per plan. (Construct (9) single family dwellings and (2) duplex structures. Review and processing for 11 A/Ps under #6073255)
3720,6177609-CN,Single Family/Duplex,2008-04-16,2014-12-09,Establish use for and construct one single family residence per plan. (Construct (9) single family dwellings and (2) duplex structures. Review and processing for 11 A/Ps under #6073255)
